video_id,exercise_id,exercise_name,equipment,youtube_link
219,99,Chest Dip: Kneeling,assisted machine,https://youtu.be/kbmVlw-i0Vs?si=v_BufosHQmz7_zes
221,99,Chest Dip: Kneeling,body weight,https://youtu.be/SdePr2kNMYk?si=RPla9lDOSCrGKTvS
223,101,Incline Row,barbell,https://youtu.be/3hP5seKhdwk?si=6Ld5938lU-3aUt78
225,101,Incline Row,dumbbell,https://youtu.be/2LxN3_3atps?si=El-jexN4UJNohR5k
227,103,Pullover,barbell,https://youtu.be/xLqf-9SyyXc?si=sUfpAVmi3ZZK3UFN
229,103,Pullover,dumbbell,https://youtu.be/FK4rHfWKEac?si=0ler9Bp2AvcAih0h
231,105,Jumping Jacks,body weight,https://youtu.be/c4DAnQ6DtF8?si=M54-bOor4rErHtte
233,105,Jumping Jacks,plyometric,
235,107,Inverted Row: High Bar,body weight,https://youtu.be/GdyhjXlxE-U?si=IZp4-td1CjVcuszn
237,107,Inverted Row: High Bar,suspension,https://youtu.be/2Synad5Yo-g?si=jJxifRdTOQYKRX8v
239,109,Chest Press,lever,https://youtu.be/-YiqDRTu8ag?si=k-LdFyYTSYw44s6J
241,109,Chest Press,dumbbell,https://youtu.be/VmB1G1K7v94?si=43m80_OHJs1lmF3f
243,109,Chest Press,barbell,https://youtu.be/rT7DgCr-3pg?si=XO6u0lNgx3xipM4F
245,111,Row,cable,https://youtu.be/7o2oolbmzeI?si=KwJtz0w3U1u1ZTQF
247,111,Row,dumbbell,https://youtu.be/2LxN3_3atps?si=LQoCc21dXUzqhung
249,111,Row,lever,https://youtu.be/TIr-oyMwAko?si=mVnwKtaNjS64Yaio
251,111,Row,barbell,https://youtu.be/Iw4vt9ajM-U?si=nLi-V-we7mFh8owb
253,113,Safety Bar Reverse Calf Raise,barbell,https://youtu.be/YcoRRjCqMJo?si=NpKYxrjs-aX1emQ-
255,115,Shoulder Internal Rotation,dumbbell,https://youtu.be/BJepHlhbbmg?si=YgEYGP8z8Cjw0G0V
257,115,Shoulder Internal Rotation,cable,https://youtu.be/jt5UXsbi0X0?si=8Kp-Z-VKyLTohGgK
259,117,Standing Fly,dumbbell,https://youtu.be/DBcg7rQpXvY?si=9Iky8ByifEh15o1n
261,117,Standing Fly,cable,https://youtu.be/PRw7ieDBLl4?si=X7FH_733u2J3IfFO
263,119,Shrug With Stirrups,cable,https://youtu.be/FV7DqjsV_uE?si=w53gSf--WMqoFIiU
